Logger, sytyni:         	Automatically truncated logfile to 1048576, MadelineProto 8.4.1
CheckLoop, sytyni:      	Still missing req_pq_multi with message ID 7491235919929248304 sent 10.004427958 seconds ago on DC 2.0, resending
LoggerLoop, sytyni:     	Pausing check loop in DC 2.0 for 5...
WriteLoop, sytyni:      	Sending req_pq_multi with message ID 7491235919929248304 sent 10.004683542 seconds ago as unencrypted message to DC 2.0
WriteLoop, sytyni:      	Sent req_pq_multi with message ID 7491235919929248304 sent 10.004841833 seconds ago as unencrypted message to DC 2.0!
WriteLoop, sytyni:      	Have to wait for handshake, pausing in write loop in DC 2.0...
LoggerLoop, sytyni:     	Pausing write loop in DC 2.0 for 1...
ReadLoop, sytyni:       	Padded unencrypted message
ReadLoop, sytyni:       	Received payload from DC 2.0
ReadLoop, sytyni:       	Finished reading in read loop in DC 2.0!
ReadLoop, sytyni:       	Reading in read loop in DC 2.0...
WriteLoop, sytyni:      	Have to wait for handshake, pausing in write loop in DC 2.0...
LoggerLoop, sytyni:     	Pausing write loop in DC 2.0 for 1...
WriteLoop, sytyni:      	Have to wait for handshake, pausing in write loop in DC 2.0...
LoggerLoop, sytyni:     	Pausing write loop in DC 2.0 for 1...
WriteLoop, sytyni:      	Have to wait for handshake, pausing in write loop in DC 2.0...
LoggerLoop, sytyni:     	Pausing write loop in DC 2.0 for 1...
WriteLoop, sytyni:      	Have to wait for handshake, pausing in write loop in DC 2.0...
LoggerLoop, sytyni:     	Pausing write loop in DC 2.0 for 1...
Session, sytyni:        	Can't garbage collect incoming message msgs_ack in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
Session, sytyni:        	Can't garbage collect incoming message resPQ in DC 2, not handled yet!
